Concurso;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6;bola 7;bola 8;bola 9;bola 10;bola 11;bola 12;bola 13;bola 14;bola 15
1060;17;7;20;13;4;14;16;8;2;15;1;5;22;23;21
1059;21;24;8;19;3;20;7;15;16;11;2;1;22;5;14
1058;22;9;24;17;6;12;25;18;13;4;21;20;7;5;16
1057;19;25;13;7;20;11;9;6;23;4;21;16;14;1;8
1056;22;15;18;4;6;21;10;23;9;14;2;8;5;11;19
1055;12;7;1;24;10;2;8;9;25;22;14;18;13;3;23
1054;20;15;9;5;3;24;17;12;6;16;4;2;25;18;13
1053;14;12;24;17;22;13;2;6;4;1;3;15;18;11;23
1052;18;8;3;1;5;11;24;21;10;23;6;16;20;17;4
1051;3;8;4;7;14;13;16;23;20;10;25;2;18;21;11
1050;24;1;7;15;21;22;25;17;19;4;6;13;10;12;16
1049;18;17;20;9;12;22;25;21;4;23;14;2;5;19;16
1048;15;16;1;20;9;17;10;2;21;25;18;7;3;6;5
1047;15;21;20;11;17;24;8;22;12;7;9;10;16;4;25
1046;13;14;21;3;7;12;18;4;11;25;20;5;22;8;23
1045;24;23;20;6;9;17;3;25;16;2;11;5;22;21;15
1044;17;10;20;24;11;6;12;23;5;2;8;15;4;7;25
1043;6;25;7;17;14;12;18;11;1;2;9;19;8;24;10
1042;7;1;15;10;21;14;16;24;6;11;22;9;3;8;19
1041;25;20;12;21;19;15;24;5;10;23;3;7;13;1;17
1040;10;12;4;23;25;9;2;1;6;16;20;22;13;21;8
1039;21;1;15;18;9;2;19;14;22;20;3;12;24;8;13
1038;8;10;24;19;6;7;20;18;16;9;17;2;13;21;25
1037;11;20;9;25;17;18;1;12;24;5;15;21;6;10;23
1036;14;12;7;22;18;21;4;9;11;5;19;24;10;17;20
1035;15;13;21;19;25;20;7;6;12;14;9;18;23;4;22
1034;8;2;23;3;13;17;12;6;21;10;20;18;14;19;4
1033;13;4;18;17;7;14;12;23;16;6;21;24;22;8;3
1032;23;4;2;6;3;10;20;11;8;17;16;13;18;14;1
1031;12;4;9;24;11;14;17;2;22;5;19;15;1;6;20
1030;19;8;15;16;2;23;11;4;20;3;1;17;9;18;10
1029;2;6;22;13;24;19;14;25;1;18;11;23;17;3;8
1028;4;25;5;11;24;17;20;7;10;19;6;9;8;23;16
1027;10;14;19;1;16;9;25;15;6;5;12;3;8;21;23
1026;1;6;7;12;19;11;20;16;24;18;14;23;5;15;21
1025;16;11;9;22;1;13;19;14;25;7;18;17;2;15;23
1024;7;2;23;4;14;13;20;17;10;9;12;22;11;21;1
1023;21;18;9;11;16;14;8;23;6;22;3;7;13;2;1
1022;25;9;10;21;3;22;18;5;16;7;8;4;24;1;14
1021;1;21;20;13;9;6;14;22;15;18;5;16;10;19;23
1020;7;12;20;21;18;9;5;2;15;24;3;19;11;16;13
1019;22;3;18;8;12;20;7;5;21;2;4;17;23;1;10
1018;11;17;2;19;18;7;5;10;8;16;14;22;12;24;4
1017;21;4;16;10;9;3;2;19;8;11;12;17;23;1;15
1016;15;3;19;20;25;2;21;23;1;12;6;14;5;11;16
1015;3;23;18;13;17;21;1;7;2;5;15;8;20;16;6
1014;13;24;14;10;25;9;2;8;1;18;12;23;17;22;20
1013;7;18;1;4;20;17;3;19;11;21;13;23;10;2;5
1012;16;17;1;25;7;15;12;24;18;9;11;21;14;2;22
1011;4;19;9;25;18;10;17;7;23;3;24;15;1;13;5
1010;11;4;21;8;14;10;1;2;15;19;13;23;6;16;22
1009;9;6;4;12;18;11;24;2;10;20;17;14;22;19;15
1008;19;12;13;7;6;18;3;16;10;8;22;17;9;1;21
1007;24;6;2;20;11;25;9;3;12;7;22;1;23;10;18
1006;4;7;6;5;15;22;13;3;16;23;1;24;20;14;9
1005;21;9;18;20;10;1;14;22;12;19;24;15;16;5;7
1004;12;21;10;3;6;22;15;18;25;19;14;20;2;1;24
1003;1;12;25;3;21;16;10;20;14;17;19;8;2;23;6
1002;22;18;17;8;12;4;24;21;15;20;14;3;13;16;10
1001;23;8;6;17;14;25;21;13;12;10;19;11;5;20;7
1000;13;16;11;14;4;18;22;3;8;17;20;12;15;19;2
999;6;2;14;16;24;15;18;10;1;13;21;8;12;5;7
998;19;1;5;3;22;2;14;12;9;20;11;17;21;23;4
997;2;24;22;4;18;7;15;10;19;5;12;23;16;17;9
996;20;18;21;9;24;2;17;4;16;6;3;13;25;7;23
995;14;2;23;9;20;12;13;8;7;3;22;17;4;24;1
994;25;23;12;18;8;15;5;11;16;9;3;22;13;7;14
993;7;5;12;17;20;4;2;25;24;9;14;21;10;23;22
992;5;17;8;24;20;15;11;13;9;3;19;1;7;4;10
991;14;7;9;2;6;22;21;24;17;1;15;12;25;5;18
990;7;8;13;19;20;6;24;22;10;11;12;16;15;5;1
989;13;15;4;22;10;9;8;19;14;3;24;17;18;6;23
988;15;3;20;9;13;7;17;11;1;24;25;5;12;16;19
987;22;15;2;20;4;12;9;19;7;13;6;5;18;11;23
986;2;14;7;13;1;11;22;21;23;20;15;5;16;24;18
985;3;21;9;13;24;6;4;17;12;7;22;14;18;23;25
984;25;15;13;4;2;9;24;12;23;10;22;8;11;20;21
983;14;8;15;2;10;7;4;18;19;25;5;21;16;11;6
982;14;5;23;3;4;21;9;7;1;13;17;18;6;24;20
981;22;24;16;6;9;2;4;18;19;1;25;8;3;12;21
980;12;22;9;24;20;11;7;10;21;2;6;8;17;13;1
979;6;16;9;19;25;23;22;2;21;24;5;10;7;8;14
978;13;18;4;11;15;3;16;7;14;5;9;25;12;8;6
977;22;1;2;14;11;17;10;7;23;18;13;20;24;8;6
976;19;13;25;14;6;2;10;1;23;21;24;7;3;11;4
975;11;12;6;10;16;19;2;20;4;1;17;24;14;13;7
974;1;21;12;22;6;4;14;10;9;7;19;8;17;15;24
973;22;14;6;3;1;24;5;11;8;25;2;20;15;21;18
972;22;1;13;15;8;23;25;20;21;11;3;6;16;14;24
971;22;24;4;9;7;10;5;20;11;6;18;21;3;23;25
970;15;18;6;9;1;17;8;12;19;20;3;21;10;23;24
969;16;17;20;18;5;1;4;12;24;3;10;22;19;11;9
968;11;7;9;20;19;5;3;4;2;18;14;16;21;13;25
967;17;4;25;16;22;11;23;21;2;10;20;8;6;9;3
966;4;11;6;21;7;5;12;3;10;17;2;8;25;19;22
965;13;18;14;24;19;15;10;22;21;8;16;3;4;11;9
964;2;23;4;9;15;1;20;3;10;19;11;7;18;17;21
963;11;23;15;14;7;3;19;18;9;16;17;6;4;10;24
962;15;1;6;25;14;13;23;21;22;4;17;20;8;9;11
961;1;4;18;20;7;12;22;2;11;15;25;21;5;9;3
960;16;14;1;6;7;2;24;17;10;4;20;21;12;18;3
959;9;19;25;5;12;24;16;20;11;2;22;21;14;23;6
958;19;14;24;4;6;20;5;1;9;17;21;16;12;13;22
957;24;15;22;5;8;6;1;23;16;25;13;21;4;7;3
956;5;6;16;13;2;12;17;22;8;4;21;11;18;3;19
955;4;5;16;7;24;11;1;12;21;14;2;9;13;18;10
954;11;14;25;23;6;20;13;8;24;3;16;18;12;10;5
953;1;9;13;12;21;16;10;7;24;15;14;18;5;2;6
952;12;3;18;17;6;4;8;11;14;23;19;21;25;22;1
951;21;7;25;19;10;17;14;9;15;3;22;8;13;20;23
950;25;12;20;5;21;17;9;8;4;14;13;2;18;7;19
949;10;17;11;23;8;15;12;6;13;9;14;7;1;21;16
948;18;2;5;16;21;6;11;9;13;1;19;24;22;8;17
947;3;9;7;16;22;18;10;1;11;12;5;24;15;2;20
946;1;22;10;24;14;20;21;16;7;19;25;18;9;8;17
945;13;4;21;2;9;20;3;19;24;6;18;23;11;25;5
944;16;9;21;8;10;12;11;24;19;1;14;13;25;17;18
943;5;18;14;13;12;10;23;3;6;9;15;21;17;4;22
942;13;18;5;1;21;6;4;24;11;22;12;3;7;19;20
941;11;25;16;3;15;18;4;5;2;9;10;7;1;8;23
940;25;14;18;24;4;17;3;2;9;20;19;16;13;7;6
939;11;21;25;1;7;5;20;9;10;18;16;6;4;19;15
938;19;6;7;17;20;15;11;25;13;16;18;3;4;10;2
937;23;2;20;14;25;19;6;9;1;11;13;24;10;16;12
936;7;4;1;8;18;25;2;15;3;13;6;17;20;19;23
935;7;22;19;18;3;4;1;2;10;14;23;5;6;12;9
934;22;24;21;8;20;3;23;4;14;25;11;9;2;10;19
933;14;17;19;15;7;5;11;24;23;2;16;4;10;6;3
932;16;18;4;8;12;13;20;14;1;25;21;5;23;15;22
931;20;19;16;5;8;3;25;14;12;10;22;11;2;6;24
930;9;20;24;2;11;14;15;16;5;25;6;12;22;23;3
929;23;2;18;25;14;1;21;11;9;8;20;7;4;5;10
928;11;14;1;9;19;4;12;24;6;8;10;25;17;15;23
927;23;22;2;5;9;6;3;14;13;21;16;17;11;20;25
926;14;1;11;19;15;5;13;24;9;12;7;6;10;8;21
925;12;3;16;23;7;25;22;1;4;6;24;14;13;9;15
924;16;8;17;2;20;7;6;12;18;1;10;19;14;24;9
923;14;15;1;7;4;19;22;12;5;6;10;20;24;25;3
922;23;2;17;21;8;12;4;9;5;20;6;22;16;24;15
921;18;4;3;16;17;15;2;25;24;21;9;7;12;1;19
920;19;2;5;4;1;3;23;10;6;16;20;15;13;12;22
919;5;13;4;21;14;11;3;1;22;7;17;9;19;2;10
918;1;23;8;9;4;22;21;3;2;13;6;16;17;14;15
917;3;21;1;5;4;14;11;20;19;6;13;22;24;2;17
916;6;24;17;5;19;4;13;18;3;23;7;1;2;14;11
915;11;20;24;2;10;4;13;5;23;25;8;22;18;1;6
914;5;4;22;12;24;3;1;11;23;18;17;15;6;10;20
913;25;22;20;10;19;24;13;5;18;12;6;17;4;15;3
912;17;14;20;23;15;22;16;4;18;7;21;2;10;3;19
911;24;2;17;5;11;21;6;22;25;15;23;3;8;1;13
910;5;11;17;8;6;24;25;20;16;18;3;19;4;13;9
909;1;8;6;18;3;12;20;13;21;11;7;10;2;22;5
908;1;15;4;10;12;23;17;13;25;2;18;6;24;9;7
907;14;4;8;23;5;3;21;13;2;7;20;16;15;22;10
906;5;3;7;10;8;12;22;6;24;1;17;21;18;2;9
905;6;14;20;16;4;11;12;21;1;22;8;23;17;10;13
904;10;17;16;18;20;22;13;24;7;19;6;9;1;12;5
903;6;20;5;16;8;18;10;2;15;11;13;3;4;1;22
902;24;2;11;4;8;17;5;25;9;1;6;3;20;21;23
901;22;1;7;6;24;10;16;23;4;13;18;12;14;25;2
900;2;11;7;20;6;25;15;1;13;8;22;10;24;18;12
899;21;9;20;25;4;10;23;7;15;16;1;14;17;18;12
898;14;1;24;20;10;11;4;18;12;8;9;21;6;13;25
897;23;21;9;16;1;11;8;13;10;2;17;14;7;5;18
896;8;13;15;1;2;7;12;20;18;4;17;19;3;6;23
895;25;13;18;17;21;2;5;16;8;12;6;11;3;19;4
894;21;2;18;15;22;6;9;13;12;19;24;25;14;5;1
893;8;23;22;6;3;2;5;24;16;9;11;4;1;15;20
892;6;24;13;3;14;2;19;10;16;20;17;21;22;1;5
891;5;24;17;23;8;16;19;15;7;25;14;12;6;1;21
890;3;7;1;11;23;6;17;19;24;4;2;18;8;5;16
889;5;7;19;2;6;25;12;9;4;21;13;22;16;11;18
888;13;20;12;22;6;11;1;18;17;19;14;24;16;3;21
887;15;10;8;6;1;21;25;19;11;12;24;18;17;23;20
886;15;21;12;13;1;8;23;16;20;4;3;10;11;17;7
885;7;19;23;17;8;16;2;18;9;11;22;24;12;5;15
884;17;10;12;21;25;19;9;8;13;4;15;7;18;20;1
883;22;21;6;12;8;18;3;17;25;19;10;5;7;16;9
882;10;2;12;19;7;17;22;25;14;13;18;24;11;8;1
881;21;4;8;1;7;3;20;23;16;19;6;15;5;22;9
880;8;14;2;5;19;22;25;6;18;10;21;24;7;16;23
879;9;2;25;13;4;18;22;3;15;12;16;24;7;10;21
878;22;19;7;25;6;2;23;3;13;10;14;1;5;16;12
877;23;10;16;11;19;3;15;14;25;18;21;7;8;9;13
876;6;14;9;21;20;16;18;13;7;5;24;25;3;12;23
875;4;9;21;24;12;15;13;22;6;23;25;10;2;8;18
874;16;23;8;1;7;20;4;10;5;21;19;2;25;9;6
873;7;6;11;9;15;14;17;25;13;12;8;18;3;2;22
872;7;2;5;22;12;1;23;18;4;17;6;13;10;14;9
871;4;23;9;13;17;6;8;24;14;10;22;19;2;15;12
870;7;13;18;12;14;17;1;8;23;10;5;6;4;16;2
869;9;25;22;1;24;12;14;10;20;3;11;23;6;18;21
868;8;3;21;12;16;10;19;9;14;1;22;24;2;17;13
867;7;6;8;3;13;21;14;10;25;2;15;22;12;5;4
866;24;14;5;10;23;20;9;13;2;11;18;7;1;3;8
865;10;22;1;13;5;19;21;7;25;4;6;3;23;20;18
864;15;3;18;17;23;13;10;19;8;16;22;12;6;24;21
863;1;19;3;18;24;4;23;16;15;22;8;17;7;13;25
862;20;3;14;19;23;1;4;13;17;15;18;2;10;24;5
861;19;2;4;17;11;23;6;14;1;10;15;7;22;3;9
860;19;25;7;16;14;3;6;15;4;24;10;13;22;5;9
859;4;2;10;5;19;13;18;17;14;9;6;11;20;1;3
858;4;22;23;20;5;3;9;11;12;25;6;19;1;17;8
857;13;15;18;20;8;3;14;11;21;1;4;16;6;24;19
856;13;22;3;7;9;12;20;2;25;8;23;19;15;11;16
855;8;1;9;14;18;17;23;3;13;4;10;11;25;24;15
854;14;10;18;17;15;1;13;8;21;5;3;2;9;22;20
853;21;6;19;12;20;23;18;2;11;5;3;17;9;8;22
852;25;4;21;5;23;1;11;20;2;12;16;18;24;3;8
851;20;4;1;5;10;22;17;18;24;6;14;15;13;7;19
850;23;20;2;14;18;13;3;7;24;10;19;21;8;5;22
849;14;4;25;5;17;12;23;10;20;15;24;16;1;18;13
848;2;25;24;9;23;18;21;5;19;16;3;13;14;8;17
847;17;11;21;7;9;18;14;13;20;1;6;25;10;3;5
846;9;10;24;20;15;23;14;1;21;11;6;4;19;13;25
845;12;7;2;4;25;23;21;18;11;22;19;16;14;24;6
844;25;24;8;17;22;12;19;1;3;15;10;16;5;9;7
843;16;20;7;24;15;22;19;21;12;13;3;4;17;11;8
842;10;3;15;13;20;19;5;18;14;4;7;22;11;21;24
841;21;24;13;5;10;14;3;12;17;20;6;16;1;8;15
840;13;21;20;4;19;6;18;17;25;9;11;22;2;23;12
839;21;19;6;3;22;7;16;17;25;24;13;2;8;14;4
838;9;15;18;10;23;20;14;21;16;4;2;24;5;11;7
837;16;10;15;22;13;12;7;3;11;8;1;18;24;14;20
836;9;18;12;15;4;10;14;21;20;16;25;8;7;22;2
835;2;15;19;18;14;25;8;4;17;6;12;21;16;1;24
834;10;14;23;19;22;4;2;18;7;21;9;16;8;11;20
833;11;16;12;2;5;17;6;25;22;19;10;7;20;18;13
832;19;15;6;12;24;10;2;16;8;22;7;25;11;5;23
831;18;2;1;14;22;11;17;5;9;10;3;12;20;21;16
830;10;11;1;19;14;23;21;9;6;16;4;12;24;17;13
829;8;22;5;14;16;9;23;11;7;2;13;25;24;18;17
828;19;9;15;8;23;17;25;14;6;7;20;12;24;22;1
827;4;1;10;17;5;16;12;2;9;22;7;14;21;24;13
826;16;5;20;19;3;23;24;6;14;18;13;12;21;15;17
825;14;22;13;25;23;7;1;15;9;11;17;8;6;10;19
824;22;4;3;7;19;21;24;14;20;11;15;25;13;2;12
823;2;5;12;16;20;24;22;9;25;11;13;19;4;1;14
822;3;15;22;11;24;2;14;18;12;5;19;17;21;16;23
821;25;17;24;7;10;11;3;9;12;21;5;16;23;14;4
820;3;8;22;9;2;1;7;24;6;16;5;13;23;15;10
819;12;22;8;6;18;5;3;21;20;19;4;7;9;11;10
818;8;24;22;11;5;14;16;23;10;19;25;6;4;20;13
817;10;23;8;4;25;12;17;24;11;20;18;2;3;5;1
816;13;17;5;25;19;12;8;15;2;3;23;10;16;9;11
815;10;20;14;25;8;11;18;7;17;15;22;6;21;23;24
814;11;12;4;8;17;21;10;24;13;20;19;3;14;22;23
813;3;8;23;1;16;21;10;12;7;5;19;4;24;25;6
812;18;1;5;14;20;8;17;24;3;19;11;21;23;7;25
811;4;2;17;20;12;3;7;14;19;10;1;5;22;9;6
810;6;3;23;15;22;1;24;16;18;12;17;7;21;9;11
809;5;2;21;18;1;25;13;16;24;7;9;23;22;19;4
808;18;6;17;10;16;24;12;22;4;11;21;14;7;20;25
807;19;7;22;25;8;24;11;13;10;21;18;5;4;3;2
806;14;25;10;5;3;15;1;20;2;16;24;19;8;7;6
805;17;6;11;25;1;16;24;13;14;20;2;4;9;22;7
804;1;13;7;23;24;6;3;20;18;17;5;4;21;8;15
803;16;25;20;1;17;24;18;14;5;4;19;23;15;12;21
802;22;4;9;13;21;14;5;3;10;12;18;8;20;1;25
801;25;3;17;1;6;23;21;10;12;7;19;4;18;15;5
800;16;13;10;22;12;7;9;6;8;11;4;24;3;21;20
799;22;3;11;15;14;21;23;24;16;6;19;25;8;13;4
798;16;18;13;24;19;23;22;10;6;8;1;5;11;3;15
797;8;7;24;19;2;20;21;11;17;18;3;15;5;25;6
796;18;24;11;14;6;21;8;4;10;20;2;16;7;17;3
795;9;10;1;3;7;12;8;24;21;14;4;6;2;16;22
794;2;15;14;9;3;23;5;24;4;8;20;1;25;6;11
793;17;5;20;16;14;23;11;21;2;12;9;4;25;7;18
792;20;12;25;14;8;19;21;9;2;3;1;23;6;10;18
791;11;8;1;7;2;23;14;22;3;10;21;25;6;13;5
790;8;3;7;12;16;10;19;23;18;20;22;13;25;24;6
789;18;12;15;3;22;14;8;19;11;2;24;10;21;4;16
788;3;12;4;11;24;9;1;22;16;21;25;19;23;8;10
787;8;4;10;12;16;1;5;14;9;20;17;19;13;11;23
786;21;15;23;24;5;11;8;25;6;10;17;2;4;13;12
785;12;11;13;1;17;10;23;15;6;7;4;19;16;21;2
784;1;12;2;20;23;13;15;4;21;11;3;7;22;18;25
783;20;16;1;8;19;7;2;5;6;13;24;15;22;11;21
782;18;13;5;14;20;12;10;17;21;15;19;16;11;9;8
781;11;1;2;22;10;25;9;15;4;19;16;8;14;20;17
780;21;20;15;8;13;17;16;3;19;24;6;7;18;25;10
779;16;20;19;21;14;23;5;13;8;9;22;12;4;17;11
778;11;15;20;10;6;9;7;19;24;2;13;25;16;5;22
777;21;15;9;25;2;11;14;12;24;3;6;13;20;23;16
776;10;24;22;14;2;18;13;4;23;12;1;11;20;3;19
775;6;17;12;2;18;10;20;3;16;13;19;8;7;14;9
774;19;11;14;6;1;15;18;12;3;8;22;9;4;5;25
773;6;18;20;15;8;17;7;10;2;25;22;11;13;24;5
772;16;2;12;20;7;6;9;25;15;8;11;24;10;4;23
771;20;7;22;25;2;4;6;9;5;23;8;14;17;10;16
770;17;12;4;24;1;3;18;6;25;11;22;16;5;9;21
769;5;11;4;23;22;16;15;25;7;13;17;10;3;19;20
768;11;3;23;19;25;15;6;12;17;20;14;24;5;1;13
767;1;11;15;12;5;8;22;24;17;19;23;4;3;7;10
766;24;25;12;9;21;15;7;5;16;3;6;14;13;1;18
765;14;23;13;25;12;1;2;18;3;9;20;10;7;24;8
764;25;4;1;8;23;17;19;3;24;9;11;14;6;16;12
763;18;16;21;1;14;25;13;3;6;7;24;4;2;17;22
762;7;11;21;13;22;2;1;10;17;3;9;12;5;6;14
761;15;11;4;6;1;19;16;13;20;14;12;24;5;10;22
760;11;24;2;15;9;25;3;12;13;10;7;1;23;16;17
759;20;23;8;16;25;7;5;17;15;18;24;19;2;9;10
758;15;18;24;4;5;6;17;16;11;2;20;12;1;25;23
757;4;10;11;1;21;20;9;14;17;18;3;23;8;13;15
756;15;17;3;20;14;13;8;25;5;6;10;16;22;7;23
755;14;24;3;5;25;11;17;2;7;8;13;1;10;16;12
754;1;19;5;16;4;20;15;18;24;7;23;22;17;13;25
753;7;3;11;1;22;8;5;13;21;14;6;4;17;25;20
752;13;6;24;21;19;14;16;8;12;1;25;4;18;7;5
751;14;17;20;23;13;12;6;3;9;16;22;5;8;19;21
750;9;3;2;20;25;4;13;7;10;19;5;21;11;15;24
749;24;2;7;8;18;11;6;22;14;13;1;4;19;15;3
748;4;18;23;17;9;15;5;6;10;12;21;20;8;3;1
747;24;4;10;23;12;15;7;20;2;13;6;16;17;1;3
746;16;18;9;8;25;17;10;24;2;20;21;19;4;3;5
745;7;1;17;12;16;24;8;9;3;6;11;20;22;25;13
744;9;3;4;12;10;13;6;16;11;1;19;23;7;15;24
743;12;11;3;10;2;24;14;17;1;15;21;6;9;22;23
742;23;20;1;7;6;5;14;21;8;11;3;15;13;9;19
741;18;3;14;12;24;5;21;11;2;7;17;13;10;25;16
740;10;21;11;13;24;9;5;22;4;1;19;12;25;14;23
739;11;25;14;2;22;20;8;9;10;17;3;21;4;23;24
738;25;23;13;6;14;11;16;18;9;7;2;24;19;20;12
737;3;7;18;4;16;25;5;10;22;2;12;6;17;14;8
736;4;10;2;17;13;15;21;9;3;23;8;16;6;19;5
735;8;20;22;5;11;24;13;21;19;14;12;25;17;10;6
734;24;15;2;3;19;20;23;8;9;21;13;17;6;18;10
733;8;18;11;14;4;22;1;16;24;20;7;5;12;6;19
732;25;14;1;11;13;24;20;8;23;9;10;4;22;17;21
731;4;7;18;8;6;21;24;14;22;17;3;12;15;19;11
730;22;24;21;19;4;1;20;12;18;16;8;11;3;14;25
729;10;2;14;12;9;22;6;3;25;15;23;17;1;7;4
728;13;23;11;7;25;16;6;20;10;19;8;22;21;3;4
727;25;8;23;3;24;16;11;20;6;21;9;18;22;7;4
726;10;16;20;25;21;7;13;11;24;2;15;4;9;1;14
725;5;17;13;1;21;16;15;24;7;6;18;10;9;25;12
724;7;6;20;12;23;14;18;10;19;1;25;3;24;15;5
723;3;14;9;8;20;11;4;5;7;15;24;2;12;10;18
722;7;1;23;19;6;8;5;20;3;14;10;17;24;13;16
721;5;21;15;14;3;9;12;7;19;10;11;8;4;2;1
720;4;9;17;16;12;24;7;23;13;18;10;20;11;25;21
719;18;11;22;24;10;2;15;16;9;23;13;25;8;7;19
718;22;19;3;14;4;24;9;13;21;11;23;25;7;15;17
717;5;9;18;21;23;2;1;14;11;8;7;20;16;3;25
716;21;23;11;18;7;3;12;16;8;20;14;15;25;1;5
715;8;15;24;5;20;18;3;25;13;11;22;1;23;10;14
714;13;17;7;19;6;10;21;12;15;14;4;11;8;9;22
713;23;11;22;6;2;13;15;21;25;5;14;3;19;4;24
712;9;4;20;18;17;16;8;15;22;21;23;12;1;25;14
711;2;12;18;21;6;4;1;24;10;22;16;5;15;7;13
710;19;3;17;14;20;25;21;6;4;18;15;12;24;2;22
709;6;8;20;12;11;7;14;18;3;1;22;15;16;19;23
708;1;19;14;6;2;16;21;3;24;5;11;25;4;9;22
707;25;8;11;20;16;7;3;24;17;12;21;15;14;4;6
706;22;18;21;16;8;1;25;12;19;24;3;13;6;2;4
705;15;21;22;20;12;9;6;14;11;25;7;8;16;3;4
704;15;17;8;16;11;24;14;22;5;23;2;13;6;3;10
703;8;24;15;23;2;18;11;21;25;20;17;14;22;5;10
702;4;14;25;8;23;5;13;3;1;10;2;7;20;6;9
701;17;4;20;21;16;10;19;13;12;3;22;23;25;14;8
700;10;21;25;1;22;18;13;2;16;6;7;14;8;19;9
699;22;18;3;8;4;21;19;6;2;25;23;10;9;16;15
698;4;6;12;22;7;21;20;9;15;3;14;24;10;18;2
697;3;7;24;19;8;1;11;23;22;14;16;15;2;25;18
696;5;20;15;4;9;7;22;13;24;16;11;21;1;10;14
695;24;22;13;3;5;21;17;18;19;20;4;11;2;25;14
694;3;16;15;11;10;6;21;8;14;1;9;24;19;18;20
693;6;14;17;7;1;4;2;11;9;22;19;3;10;16;21
692;4;22;17;12;10;11;24;23;18;2;6;19;1;7;21
691;22;1;20;6;7;17;9;8;23;3;18;11;19;13;2
690;3;15;24;12;20;1;10;14;25;13;9;2;18;19;11
689;11;23;13;8;17;7;4;24;2;3;12;5;15;22;6
688;21;23;7;1;4;14;3;19;2;24;9;12;22;16;11
687;18;19;13;20;23;1;6;3;24;15;12;25;4;2;9
686;20;1;6;12;3;24;16;4;13;19;7;10;22;25;23
685;20;22;1;25;15;4;12;23;3;21;9;19;13;17;24
684;4;8;22;25;1;13;24;20;14;21;11;12;5;10;16
683;8;15;6;12;9;5;1;4;13;23;10;24;2;7;11
682;4;18;22;24;19;25;14;2;1;17;5;11;8;7;6
681;4;18;6;14;15;16;23;11;19;2;8;7;3;10;12
680;3;6;8;9;19;13;21;4;18;12;20;7;22;16;14
679;22;11;10;17;15;14;20;2;21;13;19;8;12;7;18
678;23;2;19;18;3;15;20;12;9;5;21;7;10;25;24
677;16;12;2;19;25;10;6;1;13;7;5;8;15;23;11
676;25;15;19;24;6;12;21;16;5;8;13;4;10;2;20
675;13;7;5;2;11;22;23;15;4;17;24;14;3;10;16
674;10;3;14;11;23;2;16;22;20;24;18;19;25;15;8
673;2;17;4;15;10;13;11;9;12;14;20;8;5;19;7
672;11;21;24;19;4;10;15;1;9;2;6;17;23;12;25
671;10;9;18;20;8;13;5;19;12;11;7;4;14;22;24
670;1;18;21;20;14;7;25;10;22;15;8;12;23;17;13
669;15;16;25;19;2;23;4;5;22;6;18;17;12;13;24
668;11;25;15;1;13;9;20;24;23;10;17;7;12;16;2
667;13;15;10;4;17;25;8;6;24;3;20;19;21;18;5
666;12;24;11;6;7;14;4;16;1;25;2;18;15;20;21
665;21;3;13;2;17;7;15;22;24;14;20;6;18;12;25
664;18;15;1;23;24;20;7;21;13;3;10;16;4;17;14
663;13;4;21;19;2;6;24;17;9;16;22;5;23;11;7
662;7;14;13;2;8;15;1;9;6;3;19;16;22;11;20
661;1;7;20;22;3;15;24;6;23;17;10;19;18;11;12
660;17;5;15;16;4;9;3;7;6;12;19;24;14;8;25
659;23;3;8;12;10;24;6;9;20;1;15;11;4;5;19
658;6;4;17;7;23;24;14;25;9;21;11;15;1;5;10
657;13;25;19;17;8;23;5;15;2;10;4;6;24;12;3
656;3;18;8;14;15;5;22;9;20;7;25;11;23;2;13
655;20;13;21;19;11;25;5;14;8;2;15;7;24;10;23
654;25;20;12;13;16;3;7;19;22;17;14;1;2;18;23
653;16;3;20;1;19;17;22;13;12;23;14;21;7;8;2
652;17;7;2;21;20;13;19;5;9;16;11;14;10;23;18
651;13;5;15;10;14;25;18;6;4;20;1;24;8;17;19
650;16;19;24;1;25;14;13;23;8;3;20;10;21;17;7
649;1;14;2;11;17;24;9;8;6;21;15;4;5;10;22
648;20;8;9;22;13;19;2;21;6;10;15;16;4;11;18
647;19;9;14;20;22;18;6;23;4;8;11;7;17;13;25
646;1;17;23;6;25;15;5;3;9;21;18;19;14;10;20
645;25;19;23;21;4;11;16;20;9;22;10;8;13;18;5
644;12;9;6;21;7;5;18;24;8;13;15;14;3;2;22
643;24;10;19;8;16;13;2;9;17;7;21;22;4;23;1
642;18;13;8;10;12;25;2;5;21;20;1;4;11;19;22
641;11;2;18;19;24;16;9;21;22;6;13;3;7;8;20
640;1;16;9;21;14;3;18;4;22;5;23;20;11;19;13
639;21;22;12;4;10;8;6;19;2;16;9;20;1;5;24
638;2;3;18;4;21;24;14;13;19;9;11;1;16;23;25
637;18;2;9;7;25;19;22;13;6;4;20;23;16;17;21
636;3;1;4;13;6;21;19;20;25;12;10;16;23;14;2
635;1;4;11;19;5;8;18;9;24;7;13;6;20;22;12
634;21;9;15;20;5;22;3;19;12;4;10;18;2;11;14
633;22;2;8;7;12;23;20;24;6;3;25;9;21;10;18
632;24;10;13;6;16;25;11;21;8;22;17;14;1;20;4
631;16;2;10;17;9;3;13;18;14;20;7;21;19;8;5
630;6;22;20;13;2;17;18;7;24;12;1;14;25;4;23
629;7;21;12;17;25;1;2;14;9;19;6;5;15;22;4
628;19;10;13;7;8;18;2;25;9;4;22;15;3;11;23
