Concurso;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6;bola 7;bola 8;bola 9;bola 10;bola 11;bola 12;bola 13;bola 14;bola 15
1751;7;18;3;24;1;4;6;10;22;19;15;13;9;12;25
1750;20;17;18;13;4;24;7;12;1;16;10;19;23;22;6
1749;19;4;9;24;12;25;6;21;15;13;20;22;23;16;2
1748;5;10;1;3;9;19;17;11;18;7;22;25;12;21;6
1747;20;21;10;16;13;15;8;17;7;1;4;25;5;6;19
1746;3;6;19;15;22;25;12;4;11;7;16;10;8;23;9
1745;6;11;10;25;18;4;9;20;24;16;21;3;8;2;7
1744;13;19;10;21;18;24;1;17;20;11;23;6;12;15;5
1743;5;6;21;15;13;25;17;22;7;18;24;11;19;10;8
1742;25;16;9;10;18;14;4;21;15;1;12;20;17;8;6
1741;15;18;25;16;5;8;19;1;20;21;12;23;17;11;22
1740;4;8;22;6;11;5;9;18;16;24;10;1;19;2;3
1739;3;5;24;14;4;19;16;8;7;2;20;6;12;22;11
1738;18;13;3;10;24;19;14;9;6;22;1;20;23;21;17
1737;10;4;12;16;25;11;22;18;6;19;5;24;15;2;20
1736;25;6;12;13;9;3;16;15;11;7;23;18;19;24;22
1735;13;6;14;19;21;10;24;1;3;15;25;12;20;23;2
1734;2;15;22;16;21;6;3;25;1;7;8;24;17;10;11
1733;25;9;21;16;15;23;2;12;14;5;19;13;8;1;4
1732;3;14;20;17;12;22;9;21;24;18;19;10;5;13;1
1731;3;8;22;19;17;13;7;24;14;5;25;1;9;10;20
1730;24;15;23;7;1;13;12;22;25;18;8;10;14;19;16
1729;21;12;9;25;10;14;6;18;16;2;1;4;11;24;8
1728;2;7;14;17;21;15;3;10;6;11;5;9;12;22;8
1727;7;1;13;5;10;6;20;22;2;16;24;15;9;14;21
1726;20;19;12;3;11;10;1;15;8;5;14;25;6;22;17
1725;1;12;25;13;19;14;24;5;8;21;18;6;23;15;22
1724;15;22;20;9;11;10;7;16;13;23;21;6;5;18;12
1723;10;1;6;11;22;7;2;4;17;14;13;19;21;18;12
1722;11;12;5;17;4;21;23;25;14;2;8;22;19;7;15
1721;25;6;16;11;1;5;4;15;21;8;24;3;13;19;14
1720;9;13;20;11;25;17;23;4;22;18;3;24;15;10;2
1719;4;21;2;24;6;25;15;20;17;18;23;13;11;3;10
1718;17;8;3;5;24;6;21;12;20;22;2;11;10;18;7
1717;8;21;15;14;9;3;22;10;24;23;4;5;1;11;7
1716;25;11;12;24;23;4;17;16;5;10;7;1;22;3;13
1715;19;25;1;22;24;8;4;21;2;11;18;17;16;13;6
1714;18;6;10;8;5;19;23;15;21;14;24;7;3;1;22
1713;4;20;15;24;13;12;10;9;23;17;19;8;16;21;1
1712;7;5;13;17;10;24;23;15;3;6;1;16;25;14;18
1711;11;14;18;8;23;19;5;3;4;21;13;20;2;1;10
1710;7;2;20;21;5;22;12;4;24;10;17;25;9;6;11
1709;21;13;22;24;3;12;15;11;5;18;1;19;23;20;4
1708;14;13;9;2;1;17;3;10;8;12;18;7;4;6;22
1707;12;21;2;18;17;25;11;22;10;13;23;9;5;16;19
1706;9;2;4;3;7;12;15;13;5;17;21;18;8;20;14
1705;24;20;18;14;19;3;21;4;2;12;9;23;5;16;17
1704;7;18;9;6;2;4;16;20;22;13;14;19;12;10;11
1703;22;18;1;16;9;8;13;17;3;19;14;10;6;12;15
1702;15;10;3;4;7;17;18;14;25;5;22;19;16;11;8
1701;8;6;1;22;2;17;5;16;21;3;10;7;18;13;20
1700;2;8;6;23;24;13;16;12;1;21;7;3;22;14;20
1699;6;21;23;15;8;13;24;9;16;25;10;19;4;14;5
1698;18;20;14;3;2;16;8;19;25;22;9;13;5;21;4
1697;24;23;20;6;22;21;3;10;13;19;25;4;7;18;17
1696;8;12;18;17;10;16;4;5;19;24;7;2;13;14;23
1695;21;13;14;17;22;23;4;9;1;24;18;11;5;25;20
1694;12;11;19;2;24;3;13;5;18;4;17;23;1;9;20
1693;1;19;3;11;22;17;23;14;21;16;20;4;6;7;8
1692;25;22;23;5;18;20;7;15;24;6;17;12;10;14;3
1691;1;13;3;8;4;5;19;7;10;18;12;15;2;16;11
1690;2;16;1;20;15;8;19;5;10;13;7;4;23;25;22
1689;11;7;14;9;6;16;13;1;10;19;23;2;18;22;17
1688;3;24;8;10;19;21;5;13;25;1;22;7;6;15;4
1687;9;19;1;24;2;4;6;20;17;10;14;7;18;3;16
1686;10;15;20;18;19;13;5;17;22;9;23;6;24;2;4
1685;16;11;17;3;2;7;21;12;5;1;24;22;14;19;6
1684;17;9;7;10;13;16;14;12;23;25;4;22;2;15;24
1683;9;13;2;18;15;1;10;17;5;23;24;16;3;25;11
1682;20;15;1;7;13;25;17;9;19;21;18;12;4;6;5
1681;25;8;11;22;20;1;2;7;12;17;15;16;3;10;23
1680;20;13;23;18;25;10;8;2;1;21;12;7;14;3;11
1679;17;19;7;8;10;5;20;21;11;14;23;9;15;16;12
1678;4;16;5;23;6;9;1;24;14;19;8;3;18;20;22
1677;12;9;14;19;17;22;6;16;15;20;11;1;4;18;5
1676;10;25;23;13;8;18;16;3;20;15;9;12;4;14;24
1675;5;14;3;22;7;25;9;21;19;8;2;20;1;23;12
1674;24;9;10;1;5;15;19;21;20;11;2;23;12;4;22
1673;11;9;2;17;5;20;7;1;25;12;24;19;15;4;23
1672;22;18;11;17;25;9;6;8;3;2;5;23;21;24;20
1671;9;15;12;18;8;5;19;4;21;14;25;22;3;10;1
1670;1;13;22;20;14;4;3;16;25;17;2;21;23;11;7
1669;1;8;3;16;5;9;17;7;2;25;6;21;20;12;23
1668;11;17;21;4;16;18;12;5;24;6;14;20;23;25;8
1667;25;24;13;22;4;3;8;18;20;2;1;10;23;11;16
1666;17;21;25;13;12;10;2;1;24;8;5;20;9;6;14
1665;4;5;15;18;23;1;13;17;12;8;22;24;10;2;21
1664;11;4;16;15;7;25;13;18;20;5;17;24;2;6;8
1663;9;12;2;17;21;5;11;23;13;1;7;16;22;6;3
1662;3;13;5;2;11;25;20;22;18;17;10;14;8;1;21
1661;13;7;21;14;12;18;2;17;5;23;22;6;10;3;11
1660;2;10;1;24;13;14;3;25;21;17;7;18;11;20;8
1659;16;25;21;8;15;23;4;14;10;20;9;7;22;12;2
1658;6;7;17;19;20;8;13;12;15;4;18;2;23;16;5
1657;6;18;3;24;17;23;12;4;15;21;10;19;8;20;9
1656;5;2;13;7;24;11;20;19;3;12;10;15;17;23;4
1655;16;19;2;10;6;22;7;20;1;12;14;18;3;5;23
1654;16;20;22;23;3;18;19;13;25;4;2;10;1;6;11
1653;6;20;22;23;17;2;4;7;15;5;12;21;24;25;14
1652;24;25;18;2;5;10;14;6;16;7;17;11;3;4;21
1651;6;24;16;17;19;1;7;20;8;22;3;10;4;2;18
1650;4;13;14;22;25;3;16;10;20;17;15;18;5;19;8
1649;15;22;18;8;13;24;16;5;20;9;4;14;12;17;23
1648;24;13;21;19;4;25;10;15;17;16;9;12;22;11;23
1647;20;1;24;14;12;19;2;22;7;10;4;9;8;25;15
1646;22;9;4;7;25;3;15;13;6;5;1;12;20;18;17
1645;10;16;4;15;2;18;23;3;20;8;9;5;14;21;25
1644;5;18;3;2;6;13;7;24;9;11;8;23;15;4;22
1643;1;10;7;22;19;12;25;16;23;2;14;4;5;3;9
1642;18;19;11;7;5;24;22;6;15;10;13;20;17;25;2
1641;19;25;3;20;4;17;12;21;8;22;14;9;16;5;11
1640;17;16;25;14;12;4;2;15;20;21;22;24;6;5;1
1639;3;1;10;7;22;9;25;15;20;11;14;8;6;5;19
1638;8;7;1;16;15;22;24;20;11;10;19;12;14;25;23
1637;18;5;22;24;12;14;17;19;11;4;3;13;7;15;8
1636;14;12;3;7;9;8;18;25;2;19;20;6;22;15;13
